Name                   LEA   WAR   INT   POL

~A~
Ahui Nan                66    73    30    42

~B~
Bao Long                63    74    41    20
Bao Xin                 72    64    79    73
Bei Yan                 66    70    18    33
Bian Xi                 57    68    64    45
Bu Xie                  73    48    74    58
Bu Zhi                  77    56    81    89

~C~
Cai He                  43    50     3    34
Cai Mao                 75    67    76    77
Cai Zhong               45    53     3    24
Cao Ang                 72    60    65    73
Cao Bao                 61    73    35    28
Cao Cao                 99    72    92    96
Cao Chong               50    25    91    84
Cao Chun                71    69    59    49
Cao Fang                 7     6    29    55
Cao Hong                80    81    40    24
Cao Mao                 61    69    56    76
Cao Pi                  65    70    86    85
Cao Ren                 86    88    62    49
Cao Shuang              35    28    31    72
Cao Xi                  18    24    48    40
Cao Xing                58    71    37    29
Cao Xiong               14     6    50    55
Cao Xiu                 74    73    43    42
Cao Xun                 11    36     7    21
Cao Yu                  51    25    34    42
Cao Zhang               88    91    44    35
Cao Zhen                83    71    67    66
Cao Zhi                 22    31    84    75
Chen Biao               68    44    76    78
Chen Deng               79    65    80    81
Chen Gong               72    52    89    81
Chen Gui                21     5    83    81
Chen Heng               69    66    28    31
Chen Lin                 9     9    71    80
Chen Qun                21     7    72    95
Chen Tai                87    78    87    77
Chen Wu                 75    82    45    37
Chen Zhen               46    48    68    76
Chen Ying(Wu)           72    80    54    39
Chen Ying(Zhao Fan)     65    70    46    30
Cheng Pu                83    84    78    76
Cheng Wu                62    37    75    71
Cheng Yi                74    70    38    56
Cheng Yin               73    71    49    36
Cheng Yu                70    55    92    76
Cheng Yuanzhi           74    76    22    34
Chunyu Qiong            70    68    25    27
Cui Yan                 23    59    68    87

~D~
Dailai Dongzhu          51    56    52    41
Deng Ai                 91    88    92    76
Deng Liang               6    12    39    64
Deng Mao                68    75    37    19
Deng Xian               67    72    49    38
Deng Zhi                73    46    74    86
Deng Zhong              74    86    68    47
Dian Man                55    72    36    27
Dian Wei                68    93    31    29
Ding Feng               80    83    75    40
Ding Feng               67    72    51    38
Ding Yuan               71    74    45    46

~D~
Dong Cheng              50    55    70    69
Dong He                 65    41    75    83
Dong Min                52    60    27    11
Dong Tuna               68    72    37    44
Dong Xi                 74    81    47    39
Dong Yun                32    29    77    90
Dong Zhao               29    21    79    87
Dong Zhuo               69    83    66    19
Du Yu                   85    66    84    81

~E~
E Huan                  67    81    47    22

~F~
Fa Zheng                81    48    96    76
Fan Chou                68    73    34    27
Fei Yi                  74    22    83    92
Feng Ji                 16    19    84    70
Fu Qian                 75    83    71    45
Fu Tong                 67    72    42    41
Fu Xun(Zhuan)           16    13    71    72

~G~
Gan Ning                87    94    78    13
Gao Ding                54    63    34    40
Gao Lan                 73    78    65    54
Gao Gan                 71    65    55    58
Gao Pei                 72    60    68    64
Gao Rou                 61    59    72    79
Gao Sheng               89    86    68    48
